ItemCoreCode;Barcode;Dimensions1Alias;Dimensions2Alias;Multiplier
W6928;806891205322;-;-;10,0000
W6927;806891205087;-;-;1,0000
W6927;806891205285;-;-;10,0000
W6926;806891205049;-;-;1,0000
W6926;806891205247;-;-;10,0000
W6925;806891205001;-;-;1,0000
W6925;806891205209;-;-;10,0000
W6651;8719964002662;-;-;1,0000
W6651;8719964005144;-;-;5,0000
W3904;8027463000677;-;-;1,0000
W3904;8027463000745;-;-;6,0000
W0WFN;8027463016760;-;-;1,0000
W0WFN;8027463016777;-;-;5,0000
W0WFM;8027463016753;-;-;1,0000
W0WFM;8027463016746;-;-;5,0000
W0WFL;8027463016708;-;-;1,0000
W0WFL;8027463016715;-;-;5,0000
W0WCY;8027463014056;-;-;1,0000
W0WCY;8027463014117;-;-;10,0000
W0WCW;8027463014032;-;-;1,0000
W0WCW;8027463014094;-;-;10,0000
W0WCV;8027463014063;-;-;1,0000
W0WCV;8027463014124;-;-;10,0000
W0WCU;8027463013936;-;-;1,0000
W0WCU;8027463013929;-;-;10,0000
W0WCT;8027463014001;-;-;1,0000
W0WCT;8027463014018;-;-;10,0000
W0WCS;8027463013943;-;-;1,0000
W0WCS;8027463013950;-;-;10,0000
W0WCR;8027463013998;-;-;1,0000
W0WCR;8027463013981;-;-;10,0000
W0VOT;XXXW0VOTXXX;-;-;1,0000
W0VOS;XXXW0VOSXXX;-;-;1,0000
W0VOR;XXXW0VORXXX;-;-;1,0000
W0VOQ;XXXW0VOQXXX;-;-;1,0000
W0VOP;XXXW0VOPXXX;-;-;1,0000
W0VOO;XXXW0VOOXXX;-;-;1,0000
W0VON;XXXW0VONXXX;-;-;1,0000
W0TWL;8719964050564;-;-;1,0000
W0TWL;8719964050571;-;-;10,0000
W0TPH;8719964050595;-;-;1,0000
W0TPH;8719964050601;-;-;10,0000
W0TNW;8027463011536;-;-;1,0000
W0TNW;8027463011543;-;-;10,0000
W0TNV;8027463011499;-;-;1,0000
W0TNV;8027463011505;-;-;10,0000
W0TNU;8027463011468;-;-;1,0000
W0TNU;8027463011475;-;-;10,0000
W0TNT;8027463011550;-;-;1,0000
W0TNT;8027463011567;-;-;10,0000
W0TCQ;8719964041913;-;-;1,0000
W0TCQ;8719964041920;-;-;5,0000
W0TBB;8033765630207;-;-;1,0000
W0TBB;8033765630214;-;-;10,0000
W0TBA;8033765630184;-;-;1,0000
W0TBA;8033765630191;-;-;10,0000
W0TB0;8033765630221;-;-;1,0000
W0TB0;8033765630238;-;-;10,0000
W0TAY;8033765630160;-;-;1,0000
W0TAY;8033765630177;-;-;10,0000
W0TAW;8033765630146;-;-;1,0000
W0TAW;8033765630153;-;-;10,0000
W0TAV;8033765630122;-;-;1,0000
W0TAV;8033765630139;-;-;10,0000
W0SYF;8027463009137;-;-;1,0000
W0SYF;8027463009168;-;-;10,0000
W0SYE;8027463009120;-;-;1,0000
W0SYE;8027463009175;-;-;10,0000
W0SYD;8027463009090;-;-;1,0000
